date_time,activity,members1,members2,members3,holiday,nop,totalsales
2020/2/6,0,16408,0,0,1,502784,1572319664.0
2020/2/7,0,13400,0,0,0,447448,1473653529.0
2020/2/8,0,12238,0,0,0,401164,1401729335.0
2020/2/9,0,11310,0,0,0,363439,1329382612.0
2020/2/10,0,10713,0,0,0,331628,461305427.0
2020/2/11,0,10094,0,0,0,302691,420363834.4
2020/2/12,0,9663,0,0,0,278179,382122559.3
2020/2/13,0,9434,0,0,0,259815,348850691.3
2020/2/14,0,8917,0,0,0,239509,324453961.6
2020/2/15,0,8590,0,0,0,222488,296495900.9
2020/2/16,0,8208,0,0,0,201791,280457000.7
2020/2/17,0,7851,0,0,0,190720,611660010.0
2020/2/18,0,7706,0,0,0,185597,1108540736.0
2020/2/19,0,7600,0,0,0,183840,1597417668.0
2020/2/20,0,7667,0,0,0,183219,1802203707.0
2020/2/21,0,7782,0,0,0,188060,2034811991.0
2020/2/22,0,7991,0,0,0,190738,2039887738.0
2020/2/23,0,8136,0,0,0,193686,2044171193.0
2020/2/24,0,8283,0,0,0,198493,1692823691.0
2020/2/25,0,8554,0,0,0,204555,1579454465.0
2020/2/26,0,8838,0,0,0,211175,1099469102.0
2020/2/27,0,8946,0,0,0,215772,954336170.5
2020/2/28,0,9314,0,0,0,223606,707305744.1
2020/2/29,0,9444,0,0,0,229770,873209702.1
2020/3/1,0,9538,0,0,0,239174,887474570.3
2020/3/2,0,9633,0,0,0,244759,912971194.1
2020/3/3,0,9648,0,0,0,247831,548835803.9
2020/3/4,0,9356,0,0,0,246758,746385570.9
2020/3/5,0,9248,0,0,0,246908,693614104.3
2020/3/6,0,9057,0,0,0,244345,731363458.3
2020/3/7,0,8877,0,0,0,240824,574756172.6
2020/3/8,0,8624,0,0,0,230692,573295489.7
2020/3/9,0,8398,0,0,0,224020,565097482.9
2020/3/10,0,8316,0,0,0,221738,548740764.4
2020/3/11,0,8195,0,0,0,219714,338833427.9
2020/3/12,0,8053,0,0,0,219443,328988636.1
2020/3/13,0,7991,0,0,0,218148,287053747.1
2020/3/14,0,7954,0,0,0,220727,261890069.3
2020/3/15,0,8197,0,0,0,226274,220729317.1
2020/3/16,0,8488,0,0,0,230636,198745334.2
2020/3/17,0,8498,0,0,0,229087,167410794.1
2020/3/18,0,8471,0,0,0,228101,147456795.5
2020/3/19,0,8397,0,0,0,224184,123725125.0
2020/3/20,0,8296,0,0,0,221907,511163580.8
2020/3/21,0,8203,0,0,0,214838,498268701.3
2020/3/22,0,7922,0,0,0,205414,507682622.7
2020/3/23,0,7181,0,0,0,192670,486114079.1
2020/3/24,0,6497,0,0,0,183903,483782522.7
2020/3/25,0,6029,0,0,0,175713,481141487.5
2020/3/26,0,5502,0,0,0,170327,479194076.2
2020/3/27,0,4826,0,0,0,161661,70532637.94
2020/3/28,0,4199,0,0,0,154045,69821532.77
2020/3/29,0,3601,0,0,0,148077,57815505.6
2020/3/30,0,3391,0,0,0,147143,57793684.74
2020/3/31,0,3539,0,0,0,153044,55611242.19
2020/4/1,0,3405,0,0,0,151624,49593549.42
2020/4/2,0,3290,0,0,0,149055,43753262.25
2020/4/3,0,3185,0,0,0,149606,46213356.83
2020/4/4,0,2961,0,0,1,142488,38362446.5
2020/4/5,0,2803,0,0,2,133147,45805985.42
2020/4/6,0,2750,0,0,3,135467,51117332.23
2020/4/7,0,2480,0,0,3,129542,46917879.61
2020/4/8,0,2586,0,0,3,132624,46194160.12
2020/4/9,0,2588,0,0,3,132393,48023532.36
2020/4/10,0,2639,0,0,3,133546,45036946.28
2020/4/11,0,2729,0,0,2,139013,46401574.73
2020/4/12,0,2759,0,0,1,144674,37730796.52
2020/4/13,0,2700,0,0,0,138836,28759635.43
2020/4/14,0,2703,0,0,0,135380,29653659.51
2020/4/15,0,2571,0,0,0,133226,26732754.53
2020/4/16,0,2512,0,0,0,131397,24645332.93
2020/4/17,0,2436,0,0,0,126823,28732667.31
2020/4/18,0,2364,0,0,0,123642,29727346.15
2020/4/19,0,2354,0,0,0,120804,27347348.7
2020/4/20,0,2371,0,0,0,122101,26510111.51
2020/4/21,0,2336,0,0,0,121741,26776226.99
2020/4/22,0,2300,0,0,0,117837,27970314.85
2020/4/23,0,2301,0,0,0,116959,28406697.65
2020/4/24,0,2333,0,0,0,116870,24335003.5
2020/4/25,0,2419,0,0,0,119719,23658175.0
2020/4/26,0,2457,0,0,0,119852,44753990.09
2020/4/27,0,2466,0,0,0,119240,44999416.59
2020/4/28,0,2541,0,0,0,122975,339818015.1
2020/4/29,0,2623,0,0,0,129643,338231191.6
2020/4/30,0,2867,0,0,0,150891,340126255.9
2020/5/1,0,3013,0,0,1,167854,339516057.1
2020/5/2,0,3079,0,0,2,174255,338564962.8
2020/5/3,0,3105,0,0,3,181154,319870571.0
2020/5/4,0,3184,0,0,4,190263,319991099.5
2020/5/5,0,3328,0,0,5,211992,24485113.64
2020/5/6,0,3432,0,0,5,229104,23980472.02
2020/5/7,0,3372,0,0,5,234790,21550955.82
2020/5/8,0,3392,0,0,4,243045,23138923.83
2020/5/9,0,3535,0,0,3,261579,23904936.63
2020/5/10,0,3793,0,0,2,288206,23792651.05
2020/5/11,0,3939,0,0,1,314746,23819402.1
2020/5/12,0,4059,0,0,0,327677,24336425.95
2020/5/13,0,4166,0,0,0,342889,28501389.8
2020/5/14,0,4310,0,0,0,355214,30119524.3
2020/5/15,0,4386,0,0,0,369134,30995667.96
2020/5/16,0,4496,0,0,0,376052,31739155.57
2020/5/17,0,4538,0,0,0,376108,31462770.54
2020/5/18,0,4568,0,0,0,374932,32232062.93
2020/5/19,0,4609,0,0,0,381462,35105694.98
2020/5/20,0,4760,0,0,0,390978,34238422.75
2020/5/21,0,4876,0,0,0,395898,36149073.38
2020/5/22,0,5014,0,0,0,401082,37011008.64
2020/5/23,0,5052,0,0,0,401265,36743358.11
2020/5/24,0,5148,0,0,0,405054,36309591.7
2020/5/25,0,5330,0,0,0,413166,37022085.56
2020/5/26,1770,5381,0,0,0,413664,35566440.75
2020/5/27,0,5437,0,0,0,416496,35683778.8
2020/5/28,0,5533,0,0,0,426711,34862710.76
2020/5/29,0,5849,0,0,0,443110,34748529.9
2020/5/30,0,6048,0,0,0,454603,36476688.98
2020/5/31,1780,6134,0,0,0,462874,39272926.06
2020/6/1,0,6398,0,0,0,476449,42517595.39
2020/6/2,0,7859,0,1,0,493589,43614083.64
2020/6/3,0,8494,0,1,0,510265,44013784.42
2020/6/4,0,9312,0,1,0,524819,44203224.94
2020/6/5,0,10174,0,1,0,540472,66339517.77
2020/6/6,0,10960,0,1,0,551835,65692572.3
2020/6/7,0,11984,0,1,0,573478,66338003.43
2020/6/8,0,12485,0,1,0,590792,264221393.9
2020/6/9,0,12072,0,0,0,604343,265568300.9
2020/6/10,0,12535,0,0,0,623380,266213765.1
2020/6/11,0,12079,0,0,0,637320,265879362.6
2020/6/12,0,11596,0,0,0,651669,247078911.8
2020/6/13,0,11313,0,0,0,663674,249877647.9
2020/6/14,0,10741,0,0,0,661411,252036958.2
2020/6/15,0,10154,0,0,0,624981,52200348.77
2020/6/16,0,9123,0,0,0,573103,48445143.24
2020/6/17,0,7767,0,0,0,495755,47120024.42
2020/6/18,0,6835,0,0,0,409671,49656188.48
2020/6/19,0,5631,0,0,0,312222,46774282.83
2020/6/20,0,4433,0,0,0,237548,43597341.19
2020/6/21,0,3352,0,0,0,166034,38973131.78
2020/6/22,0,2660,0,0,0,119992,36784172.63
2020/6/23,0,2197,0,0,0,91342,36762697.32
2020/6/24,0,2043,0,0,0,81997,37182611.18
2020/6/25,0,2024,0,0,1,80896,32484459.91
2020/6/26,0,2091,0,0,2,80241,33004063.2
2020/6/27,0,2225,0,0,3,84797,30604475.64
2020/6/28,0,2263,0,0,3,86982,35799999.28
2020/6/29,0,2289,0,0,3,91422,37162095.51
2020/6/30,0,2319,0,0,3,93597,46614730.41
2020/7/1,0,2215,0,0,3,91798,42225573.27
2020/7/2,0,2243,0,0,2,95921,40906460.17
2020/7/3,0,2413,0,0,1,104798,37109032.29
2020/7/4,0,2453,0,0,0,108861,36841417.67
2020/7/5,0,2647,0,0,0,119602,29494405.42
2020/7/6,0,2802,0,0,0,130165,28992742.56
2020/7/7,0,2911,0,0,0,142679,19826343.52
2020/7/8,0,3109,0,0,0,158171,20550649.03
2020/7/9,0,3392,0,0,0,176709,45762002.06
2020/7/10,0,3458,0,0,0,198508,56295857.98
2020/7/11,0,3673,0,0,0,219465,57366873.08
2020/7/12,0,3795,0,0,0,241723,59584431.26
2020/7/13,0,3958,0,0,0,264526,2721416403.0
2020/7/14,0,4172,0,0,0,287276,2730746088.0
2020/7/15,0,4449,0,0,0,312757,2731903244.0
2020/7/16,0,4750,0,0,0,339072,2709855074.0
2020/7/17,0,5129,0,0,0,365069,2702282526.0
2020/7/18,0,5512,0,0,0,386601,2701966774.0
2020/7/19,0,5942,0,0,0,407723,2701513490.0
2020/7/20,0,6198,0,0,0,431261,38079075.24
2020/7/21,0,6557,0,0,0,456589,450520962.3
2020/7/22,0,6848,0,0,0,480373,451726117.0
2020/7/23,0,7090,0,0,0,504217,459313633.5
2020/7/24,0,7357,0,0,0,527979,458095799.6
2020/7/25,0,7756,0,0,0,548121,459219644.9
2020/7/26,0,7984,0,0,0,568002,461927888.3
2020/7/27,0,8282,0,0,0,583927,462973163.1
2020/7/28,0,8530,0,0,0,599724,42665237.97
2020/7/29,0,8690,0,0,0,613569,42750867.4
2020/7/30,0,9018,0,0,0,628133,36165897.98
2020/7/31,0,9381,0,0,0,638202,38540041.09
2020/8/1,0,9485,0,0,0,650044,49045597.92
2020/8/2,1784,9654,0,0,0,661961,47258428.5
2020/8/3,0,10006,0,0,0,671323,98219878.2
2020/8/4,0,10381,0,0,0,672848,99599626.39
2020/8/5,0,11253,0,0,0,678161,100633020.0
2020/8/6,1787,11638,0,0,0,681141,100390279.0
2020/8/7,0,12505,0,0,0,697608,109706925.8
2020/8/8,0,12965,0,0,0,707890,104970305.2
2020/8/9,1793,13681,0,0,0,723668,105813169.7
2020/8/10,0,14192,0,0,0,740357,284690585.1
2020/8/11,0,14523,0,0,0,758296,285189408.7
2020/8/12,0,14643,0,0,0,741081,284639689.0
2020/8/13,0,14632,0,0,0,762579,286661476.7
2020/8/14,0,13966,0,0,0,776632,276903106.7
2020/8/15,0,14044,0,0,0,791881,274273816.0
2020/8/16,0,14063,0,0,0,800816,273915768.9
2020/8/17,0,13699,0,0,0,812123,113116495.8
2020/8/18,0,13680,0,0,0,818824,111922079.5
2020/8/19,0,13893,0,0,0,859565,166405706.4
2020/8/20,0,14366,0,0,0,867185,165458695.6
2020/8/21,0,14964,0,0,0,872786,166124497.7
2020/8/22,0,15084,0,0,0,874320,164350584.1
2020/8/23,0,15410,0,0,0,879284,164077383.2
2020/8/24,0,15736,0,0,0,883293,98123223.58
2020/8/25,0,15501,0,0,0,885591,1576896990.0
2020/8/26,0,15038,0,0,0,889826,1524374695.0
2020/8/27,0,14846,0,0,0,882289,1525183559.0
2020/8/28,0,14591,0,0,0,872210,1568857145.0
2020/8/29,0,14630,0,0,0,869466,1568877087.0
2020/8/30,0,14408,0,0,0,860438,1574108386.0
2020/8/31,0,14048,0,0,0,848652,1574717298.0
2020/9/1,0,13974,0,0,0,830044,96266854.81
2020/9/2,0,13787,0,0,0,814955,94479504.58
2020/9/3,0,13456,0,0,0,813283,92638804.24
2020/9/4,0,13589,0,0,0,820842,48967621.27
2020/9/5,0,13490,0,0,0,822277,50100090.24
2020/9/6,0,13511,0,0,0,830120,53156846.23
2020/9/7,0,13614,0,0,0,835987,56208048.52
2020/9/8,0,13759,0,0,0,849286,56783144.86
2020/9/9,0,14249,0,0,0,870010,61276480.34
2020/9/10,0,14839,0,0,0,885172,63048629.21
2020/9/11,2015,14976,0,0,0,894196,62035721.24
2020/9/12,0,14996,0,0,0,903097,62540368.9
2020/9/13,0,15081,0,0,0,912089,56061172.98
2020/9/14,0,15301,0,0,0,924200,53167560.47
2020/9/15,0,15570,0,0,0,936329,53280832.99
2020/9/16,2091,15302,0,0,0,945799,50400070.63
2020/9/17,0,15420,0,0,0,952791,70280054.56
2020/9/18,0,15509,0,0,0,958951,74495419.71
2020/9/19,0,13372,0,0,0,963285,77598488.11
2020/9/20,0,13834,0,0,0,968982,79456585.31
2020/9/21,0,0,0,0,0,973108,79564595.07
2020/9/22,0,0,0,0,0,979490,89526836.46
2020/9/23,0,11880,0,0,0,976654,91154175.23
2020/9/24,0,0,0,0,0,977418,74056069.65
2020/9/25,0,0,0,0,0,974444,271091390.2
2020/9/26,355,0,0,0,0,981170,269041214.5
2020/9/27,0,9825,0,0,0,977321,267142804.5
2020/9/28,0,0,0,0,0,973772,1210978315.0
2020/9/29,0,0,0,0,0,976752,1208743395.0
2020/9/30,348,7838,0,0,0,981960,1211322786.0
2020/10/1,0,5363,0,0,1,988717,1209848616.0
2020/10/2,0,0,0,0,2,982253,1010109311.0
2020/10/3,347,2881,0,0,3,982949,1011143533.0
2020/10/4,0,2879,0,0,4,985874,1010399536.0
2020/10/5,0,12,0,0,5,995879,66816090.49
2020/10/6,347,13,0,0,6,1003356,59643894.35
2020/10/7,0,11,0,0,7,1005063,56705902.5
2020/10/8,0,11,0,0,7,1009085,64907854.69
2020/10/9,0,10,0,0,6,1006481,319020994.3
2020/10/10,0,0,0,0,5,998716,315095409.7
2020/10/11,0,0,0,0,4,1002178,322755487.3
2020/10/12,0,0,0,0,3,999574,321907327.1
2020/10/13,0,0,0,0,2,986730,321285789.1
2020/10/14,0,0,0,0,1,981453,321742806.6
2020/10/15,0,0,0,0,0,975356,316185339.0
2020/10/16,0,0,0,0,0,994068,64132976.07
2020/10/17,0,0,0,0,0,1000385,67510810.79
2020/10/18,0,0,0,0,0,1002028,69611294.75
2020/10/19,0,1946,0,0,0,1006873,85233196.97
2020/10/20,0,3889,0,0,0,1019466,86613806.26
2020/10/21,0,5868,0,0,0,1025575,85906261.73
2020/10/22,0,7987,0,0,0,1026629,86951478.68
2020/10/23,479,10359,0,0,0,1029484,91890079.49
2020/10/24,0,12571,0,0,0,1025805,91702996.34
2020/10/25,0,15029,0,0,0,1022386,85191915.58
2020/10/26,0,14994,0,0,0,1012402,69395150.33
2020/10/27,0,14971,0,0,0,1004486,98113543.65
2020/10/28,0,14864,0,0,0,997645,98042679.13
2020/10/29,0,14815,0,0,0,989274,94822798.15
2020/10/30,0,14549,0,0,0,980583,99127335.27
2020/10/31,0,14564,0,0,0,979753,106477721.7
2020/11/1,0,14318,0,0,0,975495,108185254.6
2020/11/2,0,14059,0,0,0,970243,154524391.6
2020/11/3,0,13834,0,0,0,966391,125378987.3
2020/11/4,0,13550,0,0,0,963001,126942457.8
2020/11/5,0,13341,0,0,0,964034,132907190.7
2020/11/6,0,13153,0,0,0,963063,125118864.0
2020/11/7,0,12805,0,0,0,960580,121392998.0
2020/11/8,0,12737,0,0,0,965760,118763582.9
2020/11/9,0,12663,0,0,0,972436,72724059.76
2020/11/10,0,12542,0,0,0,975945,73362904.5
2020/11/11,0,12590,0,0,0,977191,160646644.8
2020/11/12,0,12500,0,0,0,975139,152539470.5
2020/11/13,0,12282,0,0,0,973419,281214039.5
2020/11/14,0,12387,0,0,0,971679,277772765.3
2020/11/15,0,12496,0,0,0,967505,278629367.8
2020/11/16,0,12680,0,0,0,964253,278831851.0
2020/11/17,0,12713,0,0,0,961032,305043619.8
2020/11/18,0,12724,0,0,0,957893,214435872.8
2020/11/19,0,12608,0,0,0,950513,216619227.9
2020/11/20,0,12818,0,0,0,948669,92720591.55
2020/11/21,0,12839,0,0,0,944952,95185718.59
2020/11/22,0,12632,0,0,0,946352,95591660.44
2020/11/23,0,12561,0,0,0,945794,97760716.8
2020/11/24,0,13117,0,0,0,944357,79319896.42
2020/11/25,0,13473,0,0,0,949457,80445708.41
2020/11/26,0,13684,0,0,0,954223,87269304.03
2020/11/27,0,13764,0,0,0,956436,81538609.3
2020/11/28,0,13757,0,0,0,952858,79664345.07
2020/11/29,0,13813,0,0,0,942068,78906836.87
2020/11/30,0,13701,0,0,0,935198,77419037.17
2020/12/1,0,13008,0,0,0,926158,82599614.86
2020/12/2,0,12460,0,0,0,910714,82004678.69
2020/12/3,0,12212,0,0,0,900789,76380943.07
2020/12/4,0,11933,0,0,0,892349,79515806.22
2020/12/5,0,11444,0,0,0,884318,82364626.99
2020/12/6,0,11099,0,0,0,879900,95287305.12
2020/12/7,0,10901,0,0,0,879313,96114300.78
2020/12/8,0,10864,0,0,0,881688,82926787.08
2020/12/9,0,10866,0,0,0,887042,100334867.5
2020/12/10,0,10875,0,0,0,890221,123195541.5
2020/12/11,0,10747,0,0,0,888150,118867036.9
2020/12/12,0,10954,0,0,0,890951,126779975.1
2020/12/13,0,10947,0,0,0,890949,114569384.4
2020/12/14,0,10998,0,0,0,887030,114406195.5
2020/12/15,0,11021,0,0,0,887860,118108282.9
2020/12/16,0,11046,0,0,0,891771,106048296.8
2020/12/17,0,11155,0,0,0,895376,124711194.0
2020/12/18,0,11406,0,0,0,901931,124011360.2
2020/12/19,0,11704,0,0,0,909393,115894858.1
2020/12/20,0,12099,0,0,0,914733,115541575.1
2020/12/21,0,12280,0,0,0,911122,115503088.0
2020/12/22,0,12397,0,0,0,903151,113761888.1
2020/12/23,0,12595,0,0,0,890108,111854153.5
2020/12/24,0,12582,0,0,0,874944,69750954.45
2020/12/25,0,12581,0,0,0,850094,74112717.81
2020/12/26,0,12538,0,0,0,827543,68792408.92
2020/12/27,0,12563,0,0,0,798517,69739883.23
2020/12/28,0,12674,0,0,0,764728,70289737.09
2020/12/29,0,12674,0,0,0,725655,196480427.1
2020/12/30,0,12602,0,0,0,682718,317921948.0
2020/12/31,0,12709,0,0,0,654714,317261659.2
2021/1/1,0,12559,0,0,1,596690,307493297.5
2021/1/2,0,12050,0,0,2,551215,303888889.1
2021/1/3,0,11211,0,0,3,526123,297432994.2
2021/1/4,0,10581,0,0,3,508447,290571269.4
2021/1/5,0,9953,0,0,3,490019,158238923.1
2021/1/6,0,9425,0,0,3,470810,32629788.19
2021/1/7,0,8845,0,0,3,439576,34115816.02
2021/1/8,0,8373,0,0,2,444085,43548476.51
2021/1/9,0,8372,0,0,1,447091,43593903.35
2021/1/10,0,8215,0,0,0,431231,44351106.05
2021/1/11,0,8097,0,0,0,416792,47357156.26
2021/1/12,0,8155,0,0,0,411372,60504581.3
2021/1/13,0,8090,0,0,0,407552,62537499.14
2021/1/14,0,8087,0,0,0,400268,61175668.97
2021/1/15,0,8115,0,0,0,394558,53324505.98
2021/1/16,0,7703,0,0,0,385993,54616622.33
2021/1/17,0,7435,0,0,0,375666,55852036.02
2021/1/18,0,7254,0,0,0,368395,66818064.36
2021/1/19,0,7095,0,0,0,360341,73816261.47
2021/1/20,0,6957,0,0,0,356039,71167495.18
2021/1/21,0,6625,0,0,0,352060,67664613.25
2021/1/22,0,6419,0,0,0,349037,70793418.63
2021/1/23,0,6390,0,0,0,345839,77393439.88
2021/1/24,0,6404,0,0,0,344005,76807117.06
2021/1/25,0,6387,0,0,0,342033,221764748.6
2021/1/26,0,6343,0,0,0,344917,203621215.8
2021/1/27,0,6502,0,0,0,352266,204600060.6
2021/1/28,0,6273,0,0,0,337287,207951247.5
2021/1/29,0,5948,0,0,0,317884,237928231.5
2021/1/30,0,5690,0,0,0,303966,232990558.7
2021/1/31,0,5483,0,0,0,289543,241431288.2
2021/2/1,0,5230,0,0,0,277008,88001739.07
2021/2/2,0,4967,0,0,0,260312,89134289.95
2021/2/3,0,4496,0,0,0,237398,90345117.15
2021/2/4,0,4572,0,0,0,242252,89912785.94
2021/2/5,0,4675,0,0,0,254132,61903171.31
2021/2/6,0,4918,0,0,0,271848,61040770.52
2021/2/7,0,5001,0,0,0,279466,77034521.59
2021/2/8,0,5343,0,0,0,297319,82098347.24
2021/2/9,0,5712,0,0,0,319445,85200221.11
2021/2/10,0,6040,0,0,0,335286,88667179.89
2021/2/11,0,5679,0,0,1,318104,84967423.9
2021/2/12,0,5125,0,0,2,281980,77338559.73
2021/2/13,0,4466,0,0,3,252403,74378994.03
2021/2/14,0,4057,0,0,4,236610,48062988.49
2021/2/15,0,3596,0,0,5,218457,37239203.07
2021/2/16,0,3203,0,0,6,205738,31397309.92
2021/2/17,0,3137,0,0,7,220676,24044709.07
2021/2/18,0,3562,0,0,6,254235,25265123.84
2021/2/19,0,4139,0,0,5,294951,27055770.03
2021/2/20,0,4699,0,0,4,331504,28380860.09
2021/2/21,0,5308,0,0,3,378619,29795028.93
2021/2/22,0,5844,0,0,2,419128,31886176.46
2021/2/23,0,6228,0,0,1,452179,33612749.88
2021/2/24,0,6423,0,0,0,462382,58473751.56
2021/2/25,0,6869,0,0,0,485991,60884711.82
2021/2/26,0,7417,0,0,0,514243,165037875.5
2021/2/27,0,8196,0,0,0,542631,165869003.7
2021/2/28,0,8851,0,0,0,559770,169247082.0
2021/3/1,0,9049,0,0,0,577808,167940800.6
2021/3/2,0,9223,0,0,0,590858,169041355.5
2021/3/3,0,9276,0,0,0,608052,149206816.1
2021/3/4,0,9295,0,0,0,616153,152584865.5
2021/3/5,0,9366,0,0,0,629799,54228350.23
2021/3/6,0,9009,0,0,0,618597,54942299.36
2021/3/7,0,8632,0,0,0,608446,54514903.47
2021/3/8,0,8593,0,0,0,598878,62668762.71
2021/3/9,0,8627,0,0,0,597496,63529176.03
2021/3/10,0,8658,0,0,0,594418,62883166.73
2021/3/11,0,8602,0,0,0,598007,57110925.45
2021/3/12,0,8535,0,0,0,605367,54751680.05
2021/3/13,0,8464,0,0,0,606984,56289723.02
2021/3/14,0,8523,0,0,0,614308,58856112.42
2021/3/15,0,8674,0,0,0,622015,53491245.89
2021/3/16,0,8874,0,0,0,670161,52348972.86
2021/3/17,0,9245,0,0,0,713958,53551223.43
2021/3/18,0,9559,0,0,0,759043,54602271.82
2021/3/19,0,9910,0,0,0,805014,62600993.03
2021/3/20,0,10376,0,0,0,854721,63051238.63
2021/3/21,0,10817,0,0,0,899053,60752929.26
2021/3/22,0,11039,0,0,0,945911,62182616.26
2021/3/23,0,11250,0,0,0,947775,68057979.46
2021/3/24,0,11299,0,0,0,956770,72958730.81
2021/3/25,0,11458,0,0,0,965736,75417518.1
2021/3/26,0,11545,0,0,0,967033,71216809.08
2021/3/27,0,11811,0,0,0,972919,73886558.35
2021/3/28,0,12164,0,0,0,971725,76875915.94
2021/3/29,0,12442,0,0,0,965283,78536382.67
2021/3/30,0,12893,0,0,0,960085,78615305.8
2021/3/31,0,13263,0,0,0,955067,87164216.67
2021/4/1,0,13247,0,0,0,945262,88325958.04
2021/4/2,0,13259,0,0,0,941373,86824098.36
2021/4/3,0,12937,0,0,1,928150,85244361.38
2021/4/4,0,12413,0,0,2,888876,79557219.68
2021/4/5,0,12455,0,0,3,893742,78936041.88
2021/4/6,0,11897,0,0,3,898153,72498703.47
2021/4/7,0,11334,0,0,3,889439,54822761.94
2021/4/8,0,11461,0,0,3,884206,50749343.45
2021/4/9,0,11301,0,1,3,872083,52333282.21
2021/4/10,0,11248,0,1,2,873448,54277739.19
2021/4/11,0,11424,0,1,1,911217,57975657.74
2021/4/12,0,11075,0,1,0,909351,57692245.16
2021/4/13,0,11243,0,1,0,910042,60879487.39
2021/4/14,0,11518,0,1,0,919700,62742013.09
2021/4/15,0,11940,0,1,0,925679,65297449.21
2021/4/16,0,12519,0,0,0,937484,70369337.29
2021/4/17,0,12151,0,0,0,947727,68905389.89
2021/4/18,0,10393,0,0,0,954361,74917701.21
2021/4/19,0,8977,0,0,0,958530,74179736.67
2021/4/20,0,7412,0,0,0,961564,79478499.44
2021/4/21,0,5820,0,0,0,965530,80808244.92
2021/4/22,0,3595,0,0,0,970564,10453007811.0
2021/4/23,0,1352,0,0,0,969067,10459988274.0
2021/4/24,0,131,0,0,0,974326,10459696680.0
2021/4/25,262,1035,0,0,0,978101,10457220439.0
2021/4/26,0,4259,0,0,0,982013,10458672289.0
2021/4/27,0,7325,0,0,0,988925,10454247849.0
2021/4/28,0,10697,0,0,0,997169,10453768928.0
2021/4/29,894,14357,0,0,0,1012648,82489776.35
2021/4/30,895,18388,0,0,0,1034842,73127546.36
2021/5/1,0,21991,0,0,1,1062405,73044551.01
2021/5/2,0,24434,0,0,2,1056538,69173273.8
2021/5/3,0,24843,0,0,3,1050748,67765136.63
2021/5/4,0,25819,1,0,4,1053702,68934676.44
2021/5/5,897,25574,1,0,5,1066932,71138663.06
2021/5/6,0,24677,1,0,5,1055144,82781962.98
2021/5/7,0,22870,1,0,5,1021674,78697657.56
2021/5/8,0,21671,1,0,4,986538,79664209.17
2021/5/9,0,20812,1,0,3,986517,82513524.14
2021/5/10,0,19475,1,0,2,993127,90028086.22
2021/5/11,0,17161,0,0,1,982703,93265318.1
2021/5/12,0,15978,0,0,0,940994,92040836.69
2021/5/13,0,15216,0,0,0,941715,81782991.23
2021/5/14,0,15794,0,0,0,959150,83563285.96
2021/5/15,0,16449,0,0,0,951325,83441768.89
2021/5/16,0,16339,0,0,0,953172,80845019.91
2021/5/17,0,16164,0,0,0,954664,74155317.65
2021/5/18,0,16695,0,0,0,952998,68712831.36
2021/5/19,0,16536,0,0,0,959385,66340759.36
2021/5/20,0,16577,0,0,0,954284,1370372333.0
2021/5/21,0,15718,0,0,0,943097,1368472120.0
2021/5/22,0,14480,0,0,0,939239,1366657049.0
2021/5/23,0,14511,0,0,0,935396,1371539717.0
2021/5/24,0,14320,0,0,0,925221,1373590646.0
2021/5/25,0,13992,0,0,0,920040,1375430469.0
2021/5/26,0,14447,0,0,0,915650,1378057875.0
