holiday,nop,members,totalsales
0,229087,8498,167410794
0,228101,8471,147456795
0,224184,8397,123725125
0,221907,8296,511163580
0,214838,8203,498268701
0,205414,7922,507682622
0,192670,7181,486114079
0,183903,6497,483782522
0,175713,6029,481141487
0,170327,5502,479194076
0,161661,4826,70532637
0,154045,4199,69821532
0,148077,3601,57815505
0,147143,3391,57793684
0,153044,3539,55611242
0,151624,3405,49593549
0,149055,3290,43753262
0,149606,3185,46213356
1,142488,2961,38362446
2,133147,2803,45805985
3,135467,2750,51117332
3,129542,2480,46917879
3,132624,2586,46194160
3,132393,2588,48023532
3,133546,2639,45036946
2,139013,2729,46401574
1,144674,2759,37730796
0,138836,2700,28759635
0,135380,2703,29653659
0,133226,2571,26732754
0,131397,2512,24645332
0,126823,2436,28732667
0,123642,2364,29727346
0,120804,2354,27347348
0,122101,2371,26510111
0,121741,2336,26776226
0,117837,2300,27970314
0,116959,2301,28406697
0,116870,2333,24335003
0,119719,2419,23658175
0,119852,2457,44753990
0,119240,2466,44999416
0,122975,2541,339818015
0,129643,2623,338231191
0,150891,2867,340126255
1,167854,3013,339516057
2,174255,3079,338564962
3,181154,3105,319870571
4,190263,3184,319991099
5,211992,3328,24485113
5,229104,3432,23980472
5,234790,3372,21550955
4,243045,3392,23138923
3,261579,3535,23904936
2,288206,3793,23792651
1,314746,3939,23819402
0,327677,4059,24336425
0,342889,4166,28501389
0,355214,4310,30119524
0,369134,4386,30995667
0,376052,4496,31739155
0,376108,4538,31462770
0,374932,4568,32232062
0,381462,4609,35105694
0,390978,4760,34238422
0,395898,4876,36149073
0,401082,5014,37011008
0,401265,5052,36743358
0,405054,5148,36309591
0,413166,5330,37022085
0,413664,5381,35566440
0,416496,5437,35683778
0,426711,5533,34862710
0,443110,5849,34748529
0,454603,6048,36476688
0,462874,6134,39272926
0,476449,6398,42517595
0,493589,7860,43614083
0,510265,8495,44013784
0,524819,9313,44203224
0,540472,10175,66339517
0,551835,10961,65692572
0,573478,11985,66338003
0,590792,12486,264221393
0,604343,12072,265568300
0,623380,12535,266213765
0,637320,12079,265879362
0,651669,11596,247078911
0,663674,11313,249877647
0,661411,10741,252036958
0,624981,10154,52200348
0,573103,9123,48445143
0,495755,7767,47120024
0,409671,6835,49656188
0,312222,5631,46774282
0,237548,4433,43597341
0,166034,3352,38973131
0,119992,2660,36784172
0,91342,2197,36762697
0,81997,2043,37182611
1,80896,2024,32484459
2,80241,2091,33004063
3,84797,2225,30604475
3,86982,2263,35799999
3,91422,2289,37162095
3,93597,2319,46614730
3,91798,2215,42225573
2,95921,2243,40906460
1,104798,2413,37109032
0,108861,2453,36841417
0,119602,2647,29494405
0,130165,2802,28992742
0,142679,2911,19826343
0,158171,3109,20550649
0,176709,3392,45762002
0,198508,3458,56295857
0,219465,3673,57366873
0,241723,3795,59584431
0,264526,3958,2721416403
0,287276,4172,2730746088
0,312757,4449,2731903244
0,339072,4750,2709855074
0,365069,5129,2702282526
0,386601,5512,2701966774
0,407723,5942,2701513490
0,431261,6198,38079075
0,456589,6557,450520962
0,480373,6848,451726117
0,504217,7090,459313633
0,527979,7357,458095799
0,548121,7756,459219644
0,568002,7984,461927888
0,583927,8282,462973163
0,599724,8530,42665237
0,613569,8690,42750867
0,628133,9018,36165897
0,638202,9381,38540041
0,650044,9485,49045597
0,661961,9654,47258428
0,671323,10006,98219878
0,672848,10381,99599626
0,678161,11253,100633020
0,681141,11638,100390279
0,697608,12505,109706925
0,707890,12965,104970305
0,723668,13681,105813169
0,740357,14192,284690585
0,758296,14523,285189408
0,741081,14643,284639689
0,762579,14632,286661476
0,776632,13966,276903106
0,791881,14044,274273816
0,800816,14063,273915768
0,812123,13699,113116495
0,818824,13680,111922079
0,859565,13893,166405706
0,867185,14366,165458695
0,872786,14964,166124497
0,874320,15084,164350584
0,879284,15410,164077383
0,883293,15736,98123223
0,885591,15501,1576896990
0,889826,15038,1524374695
0,882289,14846,1525183559
0,872210,14591,1568857145
0,869466,14630,1568877087
0,860438,14408,1574108386
0,848652,14048,1574717298
0,830044,13974,96266854
0,814955,13787,94479504
0,813283,13456,92638804
0,820842,13589,48967621
0,822277,13490,50100090
0,830120,13511,53156846
0,835987,13614,56208048
0,849286,13759,56783144
0,870010,14249,61276480
0,885172,14839,63048629
0,894196,14976,62035721
0,903097,14996,62540368
0,912089,15081,56061172
0,924200,15301,53167560
0,936329,15570,53280832
0,945799,15302,50400070
0,952791,15420,70280054
0,958951,15509,74495419
0,963285,13372,77598488
0,968982,13834,79456585
0,973108,0,79564595
0,979490,0,89526836
0,976654,11880,91154175
0,977418,0,74056069
0,974444,0,271091390
0,981170,0,269041214
0,977321,9825,267142804
0,973772,0,1210978315
0,976752,0,1208743395
0,981960,7838,1211322786
1,988717,5363,1209848616
2,982253,0,1010109311
3,982949,2881,1011143533
4,985874,2879,1010399536
5,995879,12,66816090
6,1003356,13,59643894
7,1005063,11,56705902
7,1009085,11,64907854
6,1006481,10,319020994
5,998716,0,315095409
4,1002178,0,322755487
3,999574,0,321907327
2,986730,0,321285789
1,981453,0,321742806
0,975356,0,316185339
0,994068,0,64132976
0,1000385,0,67510810
0,1002028,0,69611294
0,1006873,1946,85233196
0,1019466,3889,86613806
0,1025575,5868,85906261
0,1026629,7987,86951478
0,1029484,10359,91890079
0,1025805,12571,91702996
0,1022386,15029,85191915
0,1012402,14994,69395150
0,1004486,14971,98113543
0,997645,14864,98042679
0,989274,14815,94822798
0,980583,14549,99127335
0,979753,14564,106477721
0,975495,14318,108185254
0,970243,14059,154524391
0,966391,13834,125378987
0,963001,13550,126942457
0,964034,13341,132907190
0,963063,13153,125118864
0,960580,12805,121392998
0,965760,12737,118763582
0,972436,12663,72724059
0,975945,12542,73362904
0,977191,12590,160646644
0,975139,12500,152539470
0,973419,12282,281214039
0,971679,12387,277772765
0,967505,12496,278629367
0,964253,12680,278831851
0,961032,12713,305043619
0,957893,12724,214435872
0,950513,12608,216619227
0,948669,12818,92720591
0,944952,12839,95185718
0,946352,12632,95591660
0,945794,12561,97760716
0,944357,13117,79319896
0,949457,13473,80445708
0,954223,13684,87269304
0,956436,13764,81538609
0,952858,13757,79664345
0,942068,13813,78906836
0,935198,13701,77419037
0,926158,13008,82599614
0,910714,12460,82004678
0,900789,12212,76380943
0,892349,11933,79515806
0,884318,11444,82364626
0,879900,11099,95287305
0,879313,10901,96114300
0,881688,10864,82926787
0,887042,10866,100334867
0,890221,10875,123195541
0,888150,10747,118867036
0,890951,10954,126779975
0,890949,10947,114569384
0,887030,10998,114406195
0,887860,11021,118108282
0,891771,11046,106048296
0,895376,11155,124711194
0,901931,11406,124011360
0,909393,11704,115894858
0,914733,12099,115541575
0,911122,12280,115503088
0,903151,12397,113761888
0,890108,12595,111854153
0,874944,12582,69750954
0,850094,12581,74112717
0,827543,12538,68792408
0,798517,12563,69739883
0,764728,12674,70289737
0,725655,12674,196480427
0,682718,12602,317921948
0,654714,12709,317261659
1,596690,12559,307493297
2,551215,12050,303888889
3,526123,11211,297432994
3,508447,10581,290571269
3,490019,9953,158238923
3,470810,9425,32629788
3,439576,8845,34115816
2,444085,8373,43548476
1,447091,8372,43593903
0,431231,8215,44351106
0,416792,8097,47357156
0,411372,8155,60504581
0,407552,8090,62537499
0,400268,8087,61175668
0,394558,8115,53324505
0,385993,7703,54616622
0,375666,7435,55852036
0,368395,7254,66818064
0,360341,7095,73816261
0,356039,6957,71167495
0,352060,6625,67664613
0,349037,6419,70793418
0,345839,6390,77393439
0,344005,6404,76807117
0,342033,6387,221764748
0,344917,6343,203621215
0,352266,6502,204600060
0,337287,6273,207951247
0,317884,5948,237928231
0,303966,5690,232990558
0,289543,5483,241431288
0,277008,5230,88001739
0,260312,4967,89134289
0,237398,4496,90345117
0,242252,4572,89912785
0,254132,4675,61903171
0,271848,4918,61040770
0,279466,5001,77034521
0,297319,5343,82098347
0,319445,5712,85200221
0,335286,6040,88667179
1,318104,5679,84967423
2,281980,5125,77338559
3,252403,4466,74378994
4,236610,4057,48062988
5,218457,3596,37239203
6,205738,3203,31397309
7,220676,3137,24044709
6,254235,3562,25265123
5,294951,4139,27055770
4,331504,4699,28380860
3,378619,5308,29795028
2,419128,5844,31886176
1,452179,6228,33612749
0,462382,6423,58473751
0,485991,6869,60884711
0,514243,7417,165037875
0,542631,8196,165869003
0,559770,8851,169247082
0,577808,9049,167940800
0,590858,9223,169041355
0,608052,9276,149206816
0,616153,9295,152584865
0,629799,9366,54228350
0,618597,9009,54942299
0,608446,8632,54514903
0,598878,8593,62668762
0,597496,8627,63529176
0,594418,8658,62883166
0,598007,8602,57110925
0,605367,8535,54751680
0,606984,8464,56289723
0,614308,8523,58856112
0,622015,8674,53491245
0,670161,8874,52348972
0,713958,9245,53551223
0,759043,9559,54602271
0,805014,9910,62600993
0,854721,10376,63051238
0,899053,10817,60752929
0,945911,11039,62182616
0,947775,11250,68057979
0,956770,11299,72958730
0,965736,11458,75417518
0,967033,11545,71216809
0,972919,11811,73886558
0,971725,12164,76875915
0,965283,12442,78536382
0,960085,12893,78615305
0,955067,13263,87164216
0,945262,13247,88325958
0,941373,13259,86824098
1,928150,12937,85244361
2,888876,12413,79557219
3,893742,12455,78936041
3,898153,11897,72498703
3,889439,11334,54822761
3,884206,11461,50749343
3,872083,11302,52333282
2,873448,11249,54277739
1,911217,11425,57975657
0,909351,11076,57692245
0,910042,11244,60879487
0,919700,11519,62742013
0,925679,11941,65297449
0,937484,12519,70369337
0,947727,12151,68905389
0,954361,10393,74917701
0,958530,8977,74179736
0,961564,7412,79478499
0,965530,5820,80808244
0,970564,3595,10453007811
0,969067,1352,10459988274
0,974326,131,10459696680
0,978101,1035,10457220439
0,982013,4259,10458672289
0,988925,7325,10454247849
0,997169,10697,10453768928
0,1012648,14357,82489776
0,1034842,18388,73127546
1,1062405,21991,73044551
2,1056538,24434,69173273
3,1050748,24843,67765136
4,1053702,25820,68934676
5,1066932,25575,71138663
5,1055144,24678,82781962
5,1021674,22871,78697657
4,986538,21672,79664209
3,986517,20813,82513524
2,993127,19476,90028086
1,982703,17161,93265318
0,940994,15978,92040836
0,941715,15216,81782991
0,959150,15794,83563285
0,951325,16449,83441768
0,953172,16339,80845019
0,954664,16164,74155317
0,952998,16695,68712831
0,959385,16536,66340759
0,954284,16577,1370372333
0,943097,15718,1368472120
0,939239,14480,1366657049
0,935396,14511,1371539717
0,925221,14320,1373590646
0,920040,13992,1375430469
0,915650,14447,1378057875
0,906718,14343,71967372
0,903007,14273,75073925
0,908103,14563,76519817
0,896972,14288,74845132
0,877317,14428,74134069
0,856520,13249,73875986
0,849877,11036,72577432
0,834477,9148,71719692
0,821239,7330,68863118
0,810091,5300,67369214
0,802086,3228,64720750
0,801233,1224,62601462
0,803407,544,63991417
0,800534,589,67515723
0,804067,600,67427216
0,816192,581,67829494
1,818968,536,90865309
2,790249,504,88557003
3,786728,493,89387263
3,800752,488,118924234
3,804388,475,113855769
3,801630,505,121651559
3,784821,552,142065351
2,781480,599,117733748
1,812125,651,120275636
0,816963,674,120102657
0,787893,670,87433843
0,770474,696,88499044
0,757478,670,80414599
0,747012,0,60368489
0,729257,0,61716024
0,706154,0,61644407
0,686663,0,362442015
0,681438,0,365118632
0,671471,0,369397351
0,617799,0,367550293
0,615356,614,363491172
0,622489,675,361912013
0,640521,731,360903747
0,646774,786,59045407
0,679731,874,58000755
0,707192,948,54474428
0,776798,1025,57754601
0,807057,1145,68963622
0,833514,1202,83581472
0,850130,1254,86641135
0,839687,1320,86519980
0,837905,1365,86385222
0,846460,1371,87310089
0,856221,1456,88202582
0,850413,1550,88819197
0,845238,1678,77748987
0,846912,1768,77691696
0,884450,1819,84603639
0,890265,1867,87495590
0,895478,1926,97060838
0,908141,1951,119702245
0,921801,1947,128243154
0,939152,1837,126757436
0,932535,1758,128060904
0,935943,1704,122860097
0,931134,1654,121651964
0,922945,1603,138093963
0,904195,1532,115231042
0,881157,1433,96495895
0,850920,1341,96456577
0,825547,1260,101610117
0,778074,1147,99109661
0,724947,1052,94640560
0,662423,957,63914899
0,591229,867,59730508
0,519534,802,55095481
0,454695,735,60571766
0,396904,665,47141681
0,345340,620,44962432
0,304527,564,41415729
0,274642,519,42394484
0,252091,462,40721974
0,238106,437,43831067
0,227772,404,34228849
0,225891,398,32721138
0,231627,393,32381914
0,237388,385,32396932
0,242169,379,33931146
0,248109,380,34184919
0,258141,395,31894916
0,260127,718,29618557
0,262996,814,30262680
0,271262,849,3783262049
0,284679,956,3786578557
0,302945,1283,3786577363
0,325024,1578,3789810409
0,346184,1898,3873664439
0,366815,2053,3878044799
0,387894,2171,3880390167
0,408115,2390,129095476
0,427781,2443,287572032
0,453587,2247,285939123
0,479158,2064,284188730
0,507170,1859,207613716
0,530469,1497,206107775
0,555512,1488,208676484
0,583372,1314,209238770
0,603308,1224,49462691
0,611319,1183,51035580
0,615237,1145,51258114
0,613770,1083,55225471
0,609203,1027,56787557
0,604383,875,56682783
0,586709,830,59843723
0,578632,804,86014017
0,591183,755,88468699
0,609265,721,133345458
0,624012,684,125587732
0,665116,718,128681353
1,660658,735,127721880
2,644383,759,127920451
3,640155,816,101682102
3,656604,857,98685294
3,654184,871,54823146
3,649091,883,53344764
3,634669,846,49846936
2,669491,820,50539435
1,723143,803,53802993
0,761401,771,56560221
0,763588,764,120630410
0,790782,756,131617877
1,813394,747,131905041
2,814074,703,133302109
3,788400,640,130330358
4,764527,599,134127128
5,752555,543,132844490
6,745748,483,72115546
7,738923,452,61089358
6,718950,482,114803123
5,715329,554,113888685
4,743615,645,116643390
3,770734,679,107328641
2,777508,686,106768954
1,774567,719,105635312
0,769523,750,109951822
0,794736,735,83569296
0,800729,712,87603016
0,806597,679,88822395
0,812733,670,88608647
0,819930,686,89027979
0,809941,676,89584094
0,786723,673,86311132
0,774436,655,63432256
0,757771,633,59443677
0,724349,631,57280546
0,679566,623,58399430
0,626590,600,60816320
0,584176,579,57255892
0,541709,539,57138680
0,480011,543,57309519
0,436494,540,55562403
0,397049,544,57004686
0,362624,565,56002406
0,337902,551,51507618
0,318623,543,51345006
0,268919,492,43274662
