date_time,activity,holiday,nop,members,totalsales
2020/3/6,0,0,244345,9057,731363458
2020/3/7,0,0,240824,8877,574756172
2020/3/8,0,0,230692,8624,573295489
2020/3/9,0,0,224020,8398,565097482
2020/3/10,0,0,221738,8316,548740764
2020/3/11,0,0,219714,8195,338833427
2020/3/12,0,0,219443,8053,328988636
2020/3/13,0,0,218148,7991,287053747
2020/3/14,0,0,220727,7954,261890069
2020/3/15,0,0,226274,8197,220729317
2020/3/16,0,0,230636,8488,198745334
2020/3/17,0,0,229087,8498,167410794
2020/3/18,0,0,228101,8471,147456795
2020/3/19,0,0,224184,8397,123725125
2020/3/20,0,0,221907,8296,511163580
2020/3/21,0,0,214838,8203,498268701
2020/3/22,0,0,205414,7922,507682622
2020/3/23,0,0,192670,7181,486114079
2020/3/24,0,0,183903,6497,483782522
2020/3/25,0,0,175713,6029,481141487
2020/3/26,0,0,170327,5502,479194076
2020/3/27,0,0,161661,4826,70532637
2020/3/28,0,0,154045,4199,69821532
2020/3/29,0,0,148077,3601,57815505
2020/3/30,0,0,147143,3391,57793684
2020/3/31,0,0,153044,3539,55611242
2020/4/1,0,0,151624,3405,49593549
2020/4/2,0,0,149055,3290,43753262
2020/4/3,0,0,149606,3185,46213356
2020/4/4,0,1,142488,2961,38362446
2020/4/5,0,2,133147,2803,45805985
2020/4/6,0,3,135467,2750,51117332
2020/4/7,0,3,129542,2480,46917879
2020/4/8,0,3,132624,2586,46194160
2020/4/9,0,3,132393,2588,48023532
2020/4/10,0,3,133546,2639,45036946
2020/4/11,0,2,139013,2729,46401574
2020/4/12,0,1,144674,2759,37730796
2020/4/13,0,0,138836,2700,28759635
2020/4/14,0,0,135380,2703,29653659
2020/4/15,0,0,133226,2571,26732754
2020/4/16,0,0,131397,2512,24645332
2020/4/17,0,0,126823,2436,28732667
2020/4/18,0,0,123642,2364,29727346
2020/4/19,0,0,120804,2354,27347348
2020/4/20,0,0,122101,2371,26510111
2020/4/21,0,0,121741,2336,26776226
2020/4/22,0,0,117837,2300,27970314
2020/4/23,0,0,116959,2301,28406697
2020/4/24,0,0,116870,2333,24335003
2020/4/25,0,0,119719,2419,23658175
2020/4/26,0,0,119852,2457,44753990
2020/4/27,0,0,119240,2466,44999416
2020/4/28,0,0,122975,2541,339818015
2020/4/29,0,0,129643,2623,338231191
2020/4/30,0,0,150891,2867,340126255
2020/5/1,0,1,167854,3013,339516057
2020/5/2,0,2,174255,3079,338564962
2020/5/3,0,3,181154,3105,319870571
2020/5/4,0,4,190263,3184,319991099
2020/5/5,0,5,211992,3328,24485113
2020/5/6,0,5,229104,3432,23980472
2020/5/7,0,5,234790,3372,21550955
2020/5/8,0,4,243045,3392,23138923
2020/5/9,0,3,261579,3535,23904936
2020/5/10,0,2,288206,3793,23792651
2020/5/11,0,1,314746,3939,23819402
2020/5/12,0,0,327677,4059,24336425
2020/5/13,0,0,342889,4166,28501389
2020/5/14,0,0,355214,4310,30119524
2020/5/15,0,0,369134,4386,30995667
2020/5/16,0,0,376052,4496,31739155
2020/5/17,0,0,376108,4538,31462770
2020/5/18,0,0,374932,4568,32232062
2020/5/19,0,0,381462,4609,35105694
2020/5/20,0,0,390978,4760,34238422
2020/5/21,0,0,395898,4876,36149073
2020/5/22,0,0,401082,5014,37011008
2020/5/23,0,0,401265,5052,36743358
2020/5/24,0,0,405054,5148,36309591
2020/5/25,0,0,413166,5330,37022085
2020/5/26,1770,0,413664,5381,35566440
2020/5/27,0,0,416496,5437,35683778
2020/5/28,0,0,426711,5533,34862710
2020/5/29,0,0,443110,5849,34748529
2020/5/30,0,0,454603,6048,36476688
2020/5/31,1780,0,462874,6134,39272926
2020/6/1,0,0,476449,6398,42517595
2020/6/2,0,0,493589,7860,43614083
2020/6/3,0,0,510265,8495,44013784
2020/6/4,0,0,524819,9313,44203224
2020/6/5,0,0,540472,10175,66339517
2020/6/6,0,0,551835,10961,65692572
2020/6/7,0,0,573478,11985,66338003
2020/6/8,0,0,590792,12486,264221393
2020/6/9,0,0,604343,12072,265568300
2020/6/10,0,0,623380,12535,266213765
2020/6/11,0,0,637320,12079,265879362
2020/6/12,0,0,651669,11596,247078911
2020/6/13,0,0,663674,11313,249877647
2020/6/14,0,0,661411,10741,252036958
2020/6/15,0,0,624981,10154,52200348
2020/6/16,0,0,573103,9123,48445143
2020/6/17,0,0,495755,7767,47120024
2020/6/18,0,0,409671,6835,49656188
2020/6/19,0,0,312222,5631,46774282
2020/6/20,0,0,237548,4433,43597341
2020/6/21,0,0,166034,3352,38973131
2020/6/22,0,0,119992,2660,36784172
2020/6/23,0,0,91342,2197,36762697
2020/6/24,0,0,81997,2043,37182611
2020/6/25,0,1,80896,2024,32484459
2020/6/26,0,2,80241,2091,33004063
2020/6/27,0,3,84797,2225,30604475
2020/6/28,0,3,86982,2263,35799999
2020/6/29,0,3,91422,2289,37162095
2020/6/30,0,3,93597,2319,46614730
2020/7/1,0,3,91798,2215,42225573
2020/7/2,0,2,95921,2243,40906460
2020/7/3,0,1,104798,2413,37109032
2020/7/4,0,0,108861,2453,36841417
2020/7/5,0,0,119602,2647,29494405
2020/7/6,0,0,130165,2802,28992742
2020/7/7,0,0,142679,2911,19826343
2020/7/8,0,0,158171,3109,20550649
2020/7/9,0,0,176709,3392,45762002
2020/7/10,0,0,198508,3458,56295857
2020/7/11,0,0,219465,3673,57366873
2020/7/12,0,0,241723,3795,59584431
2020/7/13,0,0,264526,3958,2721416403
2020/7/14,0,0,287276,4172,2730746088
2020/7/15,0,0,312757,4449,2731903244
2020/7/16,0,0,339072,4750,2709855074
2020/7/17,0,0,365069,5129,2702282526
2020/7/18,0,0,386601,5512,2701966774
2020/7/19,0,0,407723,5942,2701513490
2020/7/20,0,0,431261,6198,38079075
2020/7/21,0,0,456589,6557,450520962
2020/7/22,0,0,480373,6848,451726117
2020/7/23,0,0,504217,7090,459313633
2020/7/24,0,0,527979,7357,458095799
2020/7/25,0,0,548121,7756,459219644
2020/7/26,0,0,568002,7984,461927888
2020/7/27,0,0,583927,8282,462973163
2020/7/28,0,0,599724,8530,42665237
2020/7/29,0,0,613569,8690,42750867
2020/7/30,0,0,628133,9018,36165897
2020/7/31,0,0,638202,9381,38540041
2020/8/1,0,0,650044,9485,49045597
2020/8/2,1784,0,661961,9654,47258428
2020/8/3,0,0,671323,10006,98219878
2020/8/4,0,0,672848,10381,99599626
2020/8/5,0,0,678161,11253,100633020
2020/8/6,1787,0,681141,11638,100390279
2020/8/7,0,0,697608,12505,109706925
2020/8/8,0,0,707890,12965,104970305
2020/8/9,1793,0,723668,13681,105813169
2020/8/10,0,0,740357,14192,284690585
2020/8/11,0,0,758296,14523,285189408
2020/8/12,0,0,741081,14643,284639689
2020/8/13,0,0,762579,14632,286661476
2020/8/14,0,0,776632,13966,276903106
2020/8/15,0,0,791881,14044,274273816
2020/8/16,0,0,800816,14063,273915768
2020/8/17,0,0,812123,13699,113116495
2020/8/18,0,0,818824,13680,111922079
2020/8/19,0,0,859565,13893,166405706
2020/8/20,0,0,867185,14366,165458695
2020/8/21,0,0,872786,14964,166124497
2020/8/22,0,0,874320,15084,164350584
2020/8/23,0,0,879284,15410,164077383
2020/8/24,0,0,883293,15736,98123223
2020/8/25,0,0,885591,15501,1576896990
2020/8/26,0,0,889826,15038,1524374695
2020/8/27,0,0,882289,14846,1525183559
2020/8/28,0,0,872210,14591,1568857145
2020/8/29,0,0,869466,14630,1568877087
2020/8/30,0,0,860438,14408,1574108386
2020/8/31,0,0,848652,14048,1574717298
2020/9/1,0,0,830044,13974,96266854
2020/9/2,0,0,814955,13787,94479504
2020/9/3,0,0,813283,13456,92638804
2020/9/4,0,0,820842,13589,48967621
2020/9/5,0,0,822277,13490,50100090
2020/9/6,0,0,830120,13511,53156846
2020/9/7,0,0,835987,13614,56208048
2020/9/8,0,0,849286,13759,56783144
2020/9/9,0,0,870010,14249,61276480
2020/9/10,0,0,885172,14839,63048629
2020/9/11,2015,0,894196,14976,62035721
2020/9/12,0,0,903097,14996,62540368
2020/9/13,0,0,912089,15081,56061172
2020/9/14,0,0,924200,15301,53167560
2020/9/15,0,0,936329,15570,53280832
2020/9/16,2091,0,945799,15302,50400070
2020/9/17,0,0,952791,15420,70280054
2020/9/18,0,0,958951,15509,74495419
2020/9/19,0,0,963285,13372,77598488
2020/9/20,0,0,968982,13834,79456585
2020/9/21,0,0,973108,0,79564595
2020/9/22,0,0,979490,0,89526836
2020/9/23,0,0,976654,11880,91154175
2020/9/24,0,0,977418,0,74056069
2020/9/25,0,0,974444,0,271091390
2020/9/26,355,0,981170,0,269041214
2020/9/27,0,0,977321,9825,267142804
2020/9/28,0,0,973772,0,1210978315
2020/9/29,0,0,976752,0,1208743395
2020/9/30,348,0,981960,7838,1211322786
2020/10/1,0,1,988717,5363,1209848616
2020/10/2,0,2,982253,0,1010109311
2020/10/3,347,3,982949,2881,1011143533
2020/10/4,0,4,985874,2879,1010399536
2020/10/5,0,5,995879,12,66816090
2020/10/6,347,6,1003356,13,59643894
2020/10/7,0,7,1005063,11,56705902
2020/10/8,0,7,1009085,11,64907854
2020/10/9,0,6,1006481,10,319020994
2020/10/10,0,5,998716,0,315095409
2020/10/11,0,4,1002178,0,322755487
2020/10/12,0,3,999574,0,321907327
2020/10/13,0,2,986730,0,321285789
2020/10/14,0,1,981453,0,321742806
2020/10/15,0,0,975356,0,316185339
2020/10/16,0,0,994068,0,64132976
2020/10/17,0,0,1000385,0,67510810
2020/10/18,0,0,1002028,0,69611294
2020/10/19,0,0,1006873,1946,85233196
2020/10/20,0,0,1019466,3889,86613806
2020/10/21,0,0,1025575,5868,85906261
2020/10/22,0,0,1026629,7987,86951478
2020/10/23,479,0,1029484,10359,91890079
2020/10/24,0,0,1025805,12571,91702996
2020/10/25,0,0,1022386,15029,85191915
2020/10/26,0,0,1012402,14994,69395150
2020/10/27,0,0,1004486,14971,98113543
2020/10/28,0,0,997645,14864,98042679
2020/10/29,0,0,989274,14815,94822798
2020/10/30,0,0,980583,14549,99127335
2020/10/31,0,0,979753,14564,106477721
2020/11/1,0,0,975495,14318,108185254
2020/11/2,0,0,970243,14059,154524391
2020/11/3,0,0,966391,13834,125378987
2020/11/4,0,0,963001,13550,126942457
2020/11/5,0,0,964034,13341,132907190
2020/11/6,0,0,963063,13153,125118864
2020/11/7,0,0,960580,12805,121392998
2020/11/8,0,0,965760,12737,118763582
2020/11/9,0,0,972436,12663,72724059
2020/11/10,0,0,975945,12542,73362904
2020/11/11,0,0,977191,12590,160646644
2020/11/12,0,0,975139,12500,152539470
2020/11/13,0,0,973419,12282,281214039
2020/11/14,0,0,971679,12387,277772765
2020/11/15,0,0,967505,12496,278629367
2020/11/16,0,0,964253,12680,278831851
2020/11/17,0,0,961032,12713,305043619
2020/11/18,0,0,957893,12724,214435872
2020/11/19,0,0,950513,12608,216619227
2020/11/20,0,0,948669,12818,92720591
2020/11/21,0,0,944952,12839,95185718
2020/11/22,0,0,946352,12632,95591660
2020/11/23,0,0,945794,12561,97760716
2020/11/24,0,0,944357,13117,79319896
2020/11/25,0,0,949457,13473,80445708
2020/11/26,0,0,954223,13684,87269304
2020/11/27,0,0,956436,13764,81538609
2020/11/28,0,0,952858,13757,79664345
2020/11/29,0,0,942068,13813,78906836
2020/11/30,0,0,935198,13701,77419037
2020/12/1,0,0,926158,13008,82599614
2020/12/2,0,0,910714,12460,82004678
2020/12/3,0,0,900789,12212,76380943
2020/12/4,0,0,892349,11933,79515806
2020/12/5,0,0,884318,11444,82364626
2020/12/6,0,0,879900,11099,95287305
2020/12/7,0,0,879313,10901,96114300
2020/12/8,0,0,881688,10864,82926787
2020/12/9,0,0,887042,10866,100334867
2020/12/10,0,0,890221,10875,123195541
2020/12/11,0,0,888150,10747,118867036
2020/12/12,0,0,890951,10954,126779975
2020/12/13,0,0,890949,10947,114569384
2020/12/14,0,0,887030,10998,114406195
2020/12/15,0,0,887860,11021,118108282
2020/12/16,0,0,891771,11046,106048296
2020/12/17,0,0,895376,11155,124711194
2020/12/18,0,0,901931,11406,124011360
2020/12/19,0,0,909393,11704,115894858
2020/12/20,0,0,914733,12099,115541575
2020/12/21,0,0,911122,12280,115503088
2020/12/22,0,0,903151,12397,113761888
2020/12/23,0,0,890108,12595,111854153
2020/12/24,0,0,874944,12582,69750954
2020/12/25,0,0,850094,12581,74112717
2020/12/26,0,0,827543,12538,68792408
2020/12/27,0,0,798517,12563,69739883
2020/12/28,0,0,764728,12674,70289737
2020/12/29,0,0,725655,12674,196480427
2020/12/30,0,0,682718,12602,317921948
2020/12/31,0,0,654714,12709,317261659
2021/1/1,0,1,596690,12559,307493297
2021/1/2,0,2,551215,12050,303888889
2021/1/3,0,3,526123,11211,297432994
2021/1/4,0,3,508447,10581,290571269
2021/1/5,0,3,490019,9953,158238923
2021/1/6,0,3,470810,9425,32629788
2021/1/7,0,3,439576,8845,34115816
2021/1/8,0,2,444085,8373,43548476
2021/1/9,0,1,447091,8372,43593903
2021/1/10,0,0,431231,8215,44351106
2021/1/11,0,0,416792,8097,47357156
2021/1/12,0,0,411372,8155,60504581
2021/1/13,0,0,407552,8090,62537499
2021/1/14,0,0,400268,8087,61175668
2021/1/15,0,0,394558,8115,53324505
2021/1/16,0,0,385993,7703,54616622
2021/1/17,0,0,375666,7435,55852036
2021/1/18,0,0,368395,7254,66818064
2021/1/19,0,0,360341,7095,73816261
2021/1/20,0,0,356039,6957,71167495
2021/1/21,0,0,352060,6625,67664613
2021/1/22,0,0,349037,6419,70793418
2021/1/23,0,0,345839,6390,77393439
2021/1/24,0,0,344005,6404,76807117
2021/1/25,0,0,342033,6387,221764748
2021/1/26,0,0,344917,6343,203621215
2021/1/27,0,0,352266,6502,204600060
2021/1/28,0,0,337287,6273,207951247
2021/1/29,0,0,317884,5948,237928231
2021/1/30,0,0,303966,5690,232990558
2021/1/31,0,0,289543,5483,241431288
2021/2/1,0,0,277008,5230,88001739
2021/2/2,0,0,260312,4967,89134289
2021/2/3,0,0,237398,4496,90345117
2021/2/4,0,0,242252,4572,89912785
2021/2/5,0,0,254132,4675,61903171
2021/2/6,0,0,271848,4918,61040770
2021/2/7,0,0,279466,5001,77034521
2021/2/8,0,0,297319,5343,82098347
2021/2/9,0,0,319445,5712,85200221
2021/2/10,0,0,335286,6040,88667179
2021/2/11,0,1,318104,5679,84967423
2021/2/12,0,2,281980,5125,77338559
2021/2/13,0,3,252403,4466,74378994
2021/2/14,0,4,236610,4057,48062988
2021/2/15,0,5,218457,3596,37239203
2021/2/16,0,6,205738,3203,31397309
2021/2/17,0,7,220676,3137,24044709
2021/2/18,0,6,254235,3562,25265123
2021/2/19,0,5,294951,4139,27055770
2021/2/20,0,4,331504,4699,28380860
2021/2/21,0,3,378619,5308,29795028
2021/2/22,0,2,419128,5844,31886176
2021/2/23,0,1,452179,6228,33612749
2021/2/24,0,0,462382,6423,58473751
2021/2/25,0,0,485991,6869,60884711
2021/2/26,0,0,514243,7417,165037875
2021/2/27,0,0,542631,8196,165869003
2021/2/28,0,0,559770,8851,169247082
2021/3/1,0,0,577808,9049,167940800
2021/3/2,0,0,590858,9223,169041355
2021/3/3,0,0,608052,9276,149206816
2021/3/4,0,0,616153,9295,152584865
2021/3/5,0,0,629799,9366,54228350
2021/3/6,0,0,618597,9009,54942299
2021/3/7,0,0,608446,8632,54514903
2021/3/8,0,0,598878,8593,62668762
2021/3/9,0,0,597496,8627,63529176
2021/3/10,0,0,594418,8658,62883166
2021/3/11,0,0,598007,8602,57110925
2021/3/12,0,0,605367,8535,54751680
2021/3/13,0,0,606984,8464,56289723
2021/3/14,0,0,614308,8523,58856112
2021/3/15,0,0,622015,8674,53491245
2021/3/16,0,0,670161,8874,52348972
2021/3/17,0,0,713958,9245,53551223
2021/3/18,0,0,759043,9559,54602271
2021/3/19,0,0,805014,9910,62600993
2021/3/20,0,0,854721,10376,63051238
2021/3/21,0,0,899053,10817,60752929
2021/3/22,0,0,945911,11039,62182616
2021/3/23,0,0,947775,11250,68057979
2021/3/24,0,0,956770,11299,72958730
2021/3/25,0,0,965736,11458,75417518
2021/3/26,0,0,967033,11545,71216809
2021/3/27,0,0,972919,11811,73886558
2021/3/28,0,0,971725,12164,76875915
2021/3/29,0,0,965283,12442,78536382
2021/3/30,0,0,960085,12893,78615305
2021/3/31,0,0,955067,13263,87164216
2021/4/1,0,0,945262,13247,88325958
2021/4/2,0,0,941373,13259,86824098
2021/4/3,0,1,928150,12937,85244361
2021/4/4,0,2,888876,12413,79557219
2021/4/5,0,3,893742,12455,78936041
2021/4/6,0,3,898153,11897,72498703
2021/4/7,0,3,889439,11334,54822761
2021/4/8,0,3,884206,11461,50749343
2021/4/9,0,3,872083,11302,52333282
2021/4/10,0,2,873448,11249,54277739
2021/4/11,0,1,911217,11425,57975657
2021/4/12,0,0,909351,11076,57692245
2021/4/13,0,0,910042,11244,60879487
2021/4/14,0,0,919700,11519,62742013
2021/4/15,0,0,925679,11941,65297449
2021/4/16,0,0,937484,12519,70369337
2021/4/17,0,0,947727,12151,68905389
2021/4/18,0,0,954361,10393,74917701
2021/4/19,0,0,958530,8977,74179736
2021/4/20,0,0,961564,7412,79478499
2021/4/21,0,0,965530,5820,80808244
2021/4/22,0,0,970564,3595,10453007811
2021/4/23,0,0,969067,1352,10459988274
2021/4/24,0,0,974326,131,10459696680
2021/4/25,262,0,978101,1035,10457220439
2021/4/26,0,0,982013,4259,10458672289
2021/4/27,0,0,988925,7325,10454247849
2021/4/28,0,0,997169,10697,10453768928
2021/4/29,894,0,1012648,14357,82489776
2021/4/30,895,0,1034842,18388,73127546
2021/5/1,0,1,1062405,21991,73044551
2021/5/2,0,2,1056538,24434,69173273
2021/5/3,0,3,1050748,24843,67765136
2021/5/4,0,4,1053702,25820,68934676
2021/5/5,897,5,1066932,25575,71138663
2021/5/6,0,5,1055144,24678,82781962
2021/5/7,0,5,1021674,22871,78697657
2021/5/8,0,4,986538,21672,79664209
2021/5/9,0,3,986517,20813,82513524
2021/5/10,0,2,993127,19476,90028086
2021/5/11,0,1,982703,17161,93265318
2021/5/12,0,0,940994,15978,92040836
2021/5/13,0,0,941715,15216,81782991
2021/5/14,0,0,959150,15794,83563285
2021/5/15,0,0,951325,16449,83441768
2021/5/16,0,0,953172,16339,80845019
2021/5/17,0,0,954664,16164,74155317
2021/5/18,0,0,952998,16695,68712831
2021/5/19,0,0,959385,16536,66340759
2021/5/20,0,0,954284,16577,1370372333
2021/5/21,0,0,943097,15718,1368472120
2021/5/22,0,0,939239,14480,1366657049
2021/5/23,0,0,935396,14511,1371539717
2021/5/24,0,0,925221,14320,1373590646
2021/5/25,0,0,920040,13992,1375430469
2021/5/26,0,0,915650,14447,1378057875
2021/5/27,0,0,906718,14343,71967372
2021/5/28,0,0,903007,14273,75073925
2021/5/29,0,0,908103,14563,76519817
2021/5/30,0,0,896972,14288,74845132
2021/5/31,0,0,877317,14428,74134069
2021/6/1,0,0,856520,13249,73875986
2021/6/2,0,0,849877,11036,72577432
2021/6/3,0,0,834477,9148,71719692
2021/6/4,0,0,821239,7330,68863118
2021/6/5,0,0,810091,5300,67369214
2021/6/6,0,0,802086,3228,64720750
2021/6/7,0,0,801233,1224,62601462
2021/6/8,0,0,803407,544,63991417
2021/6/9,0,0,800534,589,67515723
2021/6/10,0,0,804067,600,67427216
2021/6/11,0,0,816192,581,67829494
2021/6/12,0,1,818968,536,90865309
2021/6/13,0,2,790249,504,88557003
2021/6/14,0,3,786728,493,89387263
2021/6/15,0,3,800752,488,118924234
2021/6/16,0,3,804388,475,113855769
2021/6/17,0,3,801630,505,121651559
2021/6/18,0,3,784821,552,142065351
2021/6/19,0,2,781480,599,117733748
2021/6/20,0,1,812125,651,120275636
2021/6/21,0,0,816963,674,120102657
2021/6/22,0,0,787893,670,87433843
2021/6/23,0,0,770474,696,88499044
2021/6/24,0,0,757478,670,80414599
2021/6/25,0,0,747012,0,60368489
2021/6/26,0,0,729257,0,61716024
2021/6/27,0,0,706154,0,61644407
2021/6/28,0,0,686663,0,362442015
2021/6/29,0,0,681438,0,365118632
2021/6/30,0,0,671471,0,369397351
2021/7/1,0,0,617799,0,367550293
2021/7/2,0,0,615356,614,363491172
2021/7/3,0,0,622489,675,361912013
2021/7/4,0,0,640521,731,360903747
2021/7/5,0,0,646774,786,59045407
2021/7/6,0,0,679731,874,58000755
2021/7/7,0,0,707192,948,54474428
2021/7/8,0,0,776798,1025,57754601
2021/7/9,0,0,807057,1145,68963622
2021/7/10,0,0,833514,1202,83581472
2021/7/11,1059,0,850130,1254,86641135
2021/7/12,0,0,839687,1320,86519980
2021/7/13,0,0,837905,1365,86385222
2021/7/14,0,0,846460,1371,87310089
2021/7/15,0,0,856221,1456,88202582
2021/7/16,0,0,850413,1550,88819197
2021/7/17,0,0,845238,1678,77748987
2021/7/18,0,0,846912,1768,77691696
2021/7/19,0,0,884450,1819,84603639
2021/7/20,0,0,890265,1867,87495590
2021/7/21,0,0,895478,1926,97060838
2021/7/22,0,0,908141,1951,119702245
2021/7/23,0,0,921801,1947,128243154
2021/7/24,0,0,939152,1837,126757436
2021/7/25,0,0,932535,1758,128060904
2021/7/26,0,0,935943,1704,122860097
2021/7/27,0,0,931134,1654,121651964
2021/7/28,0,0,922945,1603,138093963
2021/7/29,0,0,904195,1532,115231042
2021/7/30,0,0,881157,1433,96495895
2021/7/31,0,0,850920,1341,96456577
2021/8/1,0,0,825547,1260,101610117
2021/8/2,0,0,778074,1147,99109661
2021/8/3,0,0,724947,1052,94640560
2021/8/4,0,0,662423,957,63914899
2021/8/5,0,0,591229,867,59730508
2021/8/6,0,0,519534,802,55095481
2021/8/7,0,0,454695,735,60571766
2021/8/8,0,0,396904,665,47141681
2021/8/9,0,0,345340,620,44962432
2021/8/10,0,0,304527,564,41415729
2021/8/11,0,0,274642,519,42394484
2021/8/12,0,0,252091,462,40721974
2021/8/13,0,0,238106,437,43831067
2021/8/14,0,0,227772,404,34228849
2021/8/15,0,0,225891,398,32721138
2021/8/16,0,0,231627,393,32381914
2021/8/17,0,0,237388,385,32396932
2021/8/18,0,0,242169,379,33931146
2021/8/19,0,0,248109,380,34184919
2021/8/20,0,0,258141,395,31894916
2021/8/21,0,0,260127,718,29618557
2021/8/22,0,0,262996,814,30262680
2021/8/23,0,0,271262,849,3783262049
2021/8/24,0,0,284679,956,3786578557
2021/8/25,1057,0,302945,1283,3786577363
2021/8/26,0,0,325024,1578,3789810409
2021/8/27,0,0,346184,1898,3873664439
2021/8/28,0,0,366815,2053,3878044799
2021/8/29,0,0,387894,2171,3880390167
2021/8/30,0,0,408115,2390,129095476
2021/8/31,0,0,427781,2443,287572032
2021/9/1,0,0,453587,2247,285939123
2021/9/2,0,0,479158,2064,284188730
2021/9/3,0,0,507170,1859,207613716
2021/9/4,0,0,530469,1497,206107775
2021/9/5,0,0,555512,1488,208676484
2021/9/6,0,0,583372,1314,209238770
2021/9/7,0,0,603308,1224,49462691
2021/9/8,0,0,611319,1183,51035580
2021/9/9,2049,0,615237,1145,51258114
2021/9/10,0,0,613770,1083,55225471
2021/9/11,0,0,609203,1027,56787557
2021/9/12,0,0,604383,875,56682783
2021/9/13,0,0,586709,830,59843723
2021/9/14,0,0,578632,804,86014017
2021/9/15,0,0,591183,755,88468699
2021/9/16,0,0,609265,721,133345458
2021/9/17,0,0,624012,684,125587732
2021/9/18,0,0,665116,718,128681353
2021/9/19,0,1,660658,735,127721880
2021/9/20,0,2,644383,759,127920451
2021/9/21,0,3,640155,816,101682102
2021/9/22,0,3,656604,857,98685294
2021/9/23,0,3,654184,871,54823146
2021/9/24,0,3,649091,883,53344764
2021/9/25,0,3,634669,846,49846936
2021/9/26,0,2,669491,820,50539435
2021/9/27,0,1,723143,803,53802993
2021/9/28,0,0,761401,771,56560221
2021/9/29,0,0,763588,764,120630410
2021/9/30,0,0,790782,756,131617877
2021/10/1,0,1,813394,747,131905041
2021/10/2,0,2,814074,703,133302109
2021/10/3,0,3,788400,640,130330358
2021/10/4,0,4,764527,599,134127128
2021/10/5,0,5,752555,543,132844490
2021/10/6,0,6,745748,483,72115546
2021/10/7,0,7,738923,452,61089358
2021/10/8,0,6,718950,482,114803123
2021/10/9,0,5,715329,554,113888685
2021/10/10,0,4,743615,645,116643390
2021/10/11,0,3,770734,679,107328641
2021/10/12,0,2,777508,686,106768954
2021/10/13,0,1,774567,719,105635312
2021/10/14,0,0,769523,750,109951822
2021/10/15,0,0,794736,735,83569296
2021/10/16,0,0,800729,712,87603016
2021/10/17,0,0,806597,679,88822395
2021/10/18,0,0,812733,670,88608647
2021/10/19,0,0,819930,686,89027979
2021/10/20,0,0,809941,676,89584094
2021/10/21,0,0,786723,673,86311132
2021/10/22,0,0,774436,655,63432256
2021/10/23,0,0,757771,633,59443677
2021/10/24,0,0,724349,631,57280546
